channel,sender_id,date,text,message_id,processed_text,tokens
@aradabrand2,-1001397661846,2025-05-29 05:30:50+00:00,"✅High Standard Clothing  Made in Turkey  Master Quality Only in our Shop  Price 2,500birr  😍🔥🔥 Size# 31,32,32,34,35,36 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12657,"high standard clothing made in turkey master quality only in our shop price 2,500birr size 31,32,32,34,35,36 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['high', 'standard', 'clothing', 'made', 'in', 'turkey', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '2', '500birr', 'size', '31', '32', '32', '34', '35', '36', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2025-05-29 05:30:50+00:00,"🔵New Custom  Made in Vietnam  Master Quality Only in our Shop  Price 3,500birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12649,"new custom made in vietnam master quality only in our shop price 3,500birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['new', 'custom', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '3', '500birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2025-05-29 05:30:50+00:00,"✅POLO Made in Vietnam  Master Quality Only in our Shop  Price 4,200birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12648,"polo made in vietnam master quality only in our shop price 4,200birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['polo', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '4', '200birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2025-05-29 05:30:50+00:00,"Star wP Made in Vietnam  Master Quality Only in our Shop  Price 3,500birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12646,"star wp made in vietnam master quality only in our shop price 3,500birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['star', 'wp', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '3', '500birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2024-08-04 08:59:56+00:00,"✅High Standard Clothing  Made in Turkey  Master Quality Only in our Shop  Price 2,500birr  😍🔥🔥 Size# 31,32,32,34,35,36 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12643,"high standard clothing made in turkey master quality only in our shop price 2,500birr size 31,32,32,34,35,36 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['high', 'standard', 'clothing', 'made', 'in', 'turkey', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '2', '500birr', 'size', '31', '32', '32', '34', '35', '36', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2024-08-04 08:57:06+00:00,"🔵New Custom  Made in Vietnam  Master Quality Only in our Shop  Price 3,500birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12635,"new custom made in vietnam master quality only in our shop price 3,500birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['new', 'custom', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '3', '500birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2024-08-04 08:56:32+00:00,"✅POLO Made in Vietnam  Master Quality Only in our Shop  Price 4,200birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12634,"polo made in vietnam master quality only in our shop price 4,200birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['polo', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '4', '200birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2024-08-04 08:55:33+00:00,"Star wP Made in Vietnam  Master Quality Only in our Shop  Price 3,500birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12632,"star wp made in vietnam master quality only in our shop price 3,500birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['star', 'wp', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '3', '500birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2024-08-04 08:54:28+00:00,"✅ADIDAS Made in Vietnam  Master Quality Only in our Shop  Price 4,500birr  😍🔥🔥 Size#36,37,38,39 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12629,"adidas made in vietnam master quality only in our shop price 4,500birr size,37,38,39 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['adidas', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '4', '500birr', 'size', '37', '38', '39', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
@aradabrand2,-1001397661846,2024-08-04 08:54:00+00:00,"✅STOK GRN Made in Vietnam  Master Quality Only in our Shop  Price 3,200birr  😍🔥🔥 Size#40,41,42,43 🔴FREE DELIVERY(ያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን🏍) 🔴ለሱቅና ብዛት ተረካቢዎች ባስተያየት 📶0977808897 🔻🔻🔻 @Naty_boy  አድራሻችን- ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216",12627,"stok grn made in vietnam master quality only in our shop price 3,200birr size,41,42,43 free deliveryያሉበት ቦታ ያለተጨማሪ ክፍያ እናደርሳለን ለሱቅና ብዛት ተረካቢዎች ባስተያየት 0977808897 አድራሻችን ቄራ ሶፊያ ሞል ሁለተኛ ፎቅ ሱ.ቁ 216","['stok', 'grn', 'made', 'in', 'vietnam', 'master', 'quality', 'only', 'in', 'our', 'shop', 'price', '3', '200birr', 'size', '41', '42', '43', 'free', 'deliveryያሉበት', 'ቦታ', 'ያለተጨማሪ', 'ክፍያ', 'እናደርሳለን', 'ለሱቅና', 'ብዛት', 'ተረካቢዎች', 'ባስተያየት', '0977808897', 'አድራሻችን', 'ቄራ', 'ሶፊያ', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ሱ', 'ቁ', '216']"
